id,name,difficulty,price_before,cycle,price_after
ez_zakum,자쿰,이지,114000,daily,114000 
n_zakum,자쿰,노말,349000,daily,349000 
ez_papulatus,파풀라투스,이지,390000,daily,390000 
ez_magnus,매그너스,이지,411000,daily,411000 
n_hilla,힐라,노말,455000,daily,455000 
ez_horntail,혼테일,이지,502000,daily,502000 
n_queen,블러디퀸,노말,551000,daily,551000 
n_banban,반반,노말,551000,daily,551000 
n_pierre,피에르,노말,551000,daily,551000 
n_vellum,벨룸,노말,551000,daily,551000 
n_horntail,혼테일,노말,576000,daily,576000 
ez_vonleon,반레온,이지,602000,daily,602000 
ez_arkarium,아카이럼,이지,656000,daily,656000 
n_kaung,카웅,노말,712000,daily,712000 
c_horntail,혼테일,카오스,770000,daily,770000 
n_pinkbean,핑크빈,노말,799000,daily,799000 
n_vonleon,반레온,노말,830000,daily,830000 
h_vonleon,반레온,하드,1070000,daily,1070000 
n_arkarium,아카이럼,노말,1110000,daily,1110000 
n_magnus,매그너스,노말,1160000,daily,1160000 
n_papulatus,파풀라투스,노말,1200000,daily,1200000 
h_hilla,힐라,하드,1280000,daily,1280000 
c_pinkbean,핑크빈,카오스,1320000,daily,1320000 
n_cygnus,시그너스,노말,1360000,daily,1360000 
c_zakum,자쿰,카오스,8080000,weekly,4040000 
c_queen,블러디퀸,카오스,8140000,weekly,4070000 
c_banban,반반,카오스,8150000,weekly,4070000 
c_pierre,피에르,카오스,8170000,weekly,4080000 
h_magnus,매그너스,하드,8560000,weekly,4280000 
c_vellum,벨룸,카오스,9280000,weekly,4640000 
c_papulatus,파풀라투스,카오스,13100000,weekly,6550000 
n_lotus,스우,노말,16700000,weekly,8350000 
n_damien,데미안,노말,17500000,weekly,8750000 
n_slime,가디언 엔젤 슬라임,노말,25500000,weekly,12700000 
ez_lucid,루시드,이지,29800000,weekly,14900000 
ez_will,윌,이지,32300000,weekly,16100000 
n_lucid,루시드,노말,35600000,weekly,17800000 
n_will,윌,노말,41100000,weekly,20500000 
n_dusk,더스크,노말,44000000,weekly,22000000 
n_dunkel,듄켈,노말,47500000,weekly,23700000 
h_lotus,스우,하드,51500000,weekly,48900000 
h_damien,데미안,하드,48900000,weekly,46400000 
h_lucid,루시드,하드,62900000,weekly,59700000 
c_dusk,더스크,카오스,69800000,weekly,66300000 
n_verushilla,진 힐라,노말,71200000,weekly,67600000 
c_slime,가디언 엔젤 슬라임,카오스,75100000,weekly,71300000 
h_will,윌,하드,77100000,weekly,73200000 
h_dunkel,듄켈,하드,94400000,weekly,89600000 
h_verushilla,진 힐라,하드,106000000,weekly,100000000 
n_seren,세렌,노말,239000000,weekly,167000000 
ez_kalos,칼로스,이지,280000000,weekly,238000000 
ez_adversary,최초의 대적자,이지,308000000,weekly,261000000 
h_seren,세렌,하드,356000000,weekly,302000000 
ez_karing,카링,이지,377000000,weekly,320000000 
ez_bellona,벨로나,이지,440000000,weekly,396000000 
n_kalos,칼로스,노말,505000000,weekly,479000000 
n_adversary,최초의 대적자,노말,560000000,weekly,532000000 
ex_lotus,스우,익스트림,574000000,weekly,545000000 
n_brilliantdarkness,찬란한 흉성,노말,625000000,weekly,593000000 
n_karing,카링,노말,678000000,weekly,576000000 
n_bellona,벨로나,노말,850000000,weekly,824000000 
n_limbo,림보,노말,1026000000,weekly,995000000 
c_kalos,칼로스,카오스,1273000000,weekly,1230000000 
n_baldrix,발드릭스,노말,1368000000,weekly,1320000000 
h_adversary,최초의 대적자,하드,1435000000,weekly,1390000000 
n_jupiter,유피테르,노말,1615000000,weekly,1560000000 
h_karing,카링,하드,1739000000,weekly,1560000000 
h_limbo,림보,하드,2385000000,weekly,2385000000 
h_brilliantdarkness,찬란한 흉성,하드,2678000000,weekly,2678000000 
ex_seren,세렌,익스트림,"2,835,000,000",weekly,1840000000 
h_bellona,벨로나,하드,2950000000,weekly,2950000000 
h_baldrix,발드릭스,하드,3078000000,weekly,3078000000 
ex_kalos,칼로스,익스트림,4104000000,weekly,4104000000 
ex_adversary,최초의 대적자,익스트림,4712000000,weekly,4712000000 
h_jupiter,유피테르,하드,4845000000,weekly,4845000000 
ex_karing,카링,익스트림,5387000000,weekly,5387000000 
h_theblackmage,검은 마법사,하드,665000000,monthly,465000000 
ex_theblackmage,검은 마법사,익스트림,8740000000,monthly,5680000000 
